Epoch [59], Step [28/120], Patch [1/6], SIDD Loss: 3.90493223676458e-05, DIV2K Loss: 0.003296508453786373
Epoch [59], Step [28/120], Patch [2/6], SIDD Loss: 6.799070251872763e-05, DIV2K Loss: 0.0008433267357759178
Epoch [59], Step [28/120], Patch [3/6], SIDD Loss: 3.465832560323179e-05, DIV2K Loss: 0.0012899191351607442
Epoch [59], Step [28/120], Patch [4/6], SIDD Loss: 2.9442344384733588e-05, DIV2K Loss: 0.005878778174519539
Epoch [59], Step [28/120], Patch [5/6], SIDD Loss: 2.9726299544563517e-05, DIV2K Loss: 0.00280108954757452
Epoch [59], Step [28/120], Patch [6/6], SIDD Loss: 3.819876292254776e-05, DIV2K Loss: 0.002650956390425563
Epoch [59], Step [29/120], Patch [1/6], SIDD Loss: 0.0003462202730588615, DIV2K Loss: 0.00531589612364769
Epoch [59], Step [29/120], Patch [2/6], SIDD Loss: 0.0005308135296218097, DIV2K Loss: 0.006194842979311943
Epoch [59], Step [29/120], Patch [3/6], SIDD Loss: 0.00017303306958638132, DIV2K Loss: 0.008646611124277115
Epoch [59], Step [29/120], Patch [4/6], SIDD Loss: 0.0004102831007912755, DIV2K Loss: 0.010984222404658794
Epoch [59], Step [29/120], Patch [5/6], SIDD Loss: 0.00024681794457137585, DIV2K Loss: 0.009922927245497704
Epoch [59], Step [29/120], Patch [6/6], SIDD Loss: 0.0005021450342610478, DIV2K Loss: 0.012674364261329174
Epoch [59], Step [30/120], Patch [1/6], SIDD Loss: 4.4187105231685564e-05, DIV2K Loss: 0.00012500464799813926
Epoch [59], Step [30/120], Patch [2/6], SIDD Loss: 2.9618677217513323e-05, DIV2K Loss: 0.001072367886081338
Epoch [59], Step [30/120], Patch [3/6], SIDD Loss: 3.821864811470732e-05, DIV2K Loss: 0.0001088188000721857
Epoch [59], Step [30/120], Patch [4/6], SIDD Loss: 3.838108023046516e-05, DIV2K Loss: 0.0015561090549454093
Epoch [59], Step [30/120], Patch [5/6], SIDD Loss: 3.147898678435013e-05, DIV2K Loss: 0.020520895719528198
Epoch [59], Step [30/120], Patch [6/6], SIDD Loss: 1.8707431081566028e-05, DIV2K Loss: 8.46487091621384e-05
Epoch [59], Step [31/120], Patch [1/6], SIDD Loss: 9.046363993547857e-05, DIV2K Loss: 0.0014992364449426532
Epoch [59], Step [31/120], Patch [2/6], SIDD Loss: 0.0002918554237112403, DIV2K Loss: 0.00333797256462276
Epoch [59], Step [31/120], Patch [3/6], SIDD Loss: 9.338722884422168e-05, DIV2K Loss: 0.00158451939933002
Epoch [59], Step [31/120], Patch [4/6], SIDD Loss: 0.00010269100312143564, DIV2K Loss: 0.0013124537654221058
Epoch [59], Step [31/120], Patch [5/6], SIDD Loss: 7.561749225715175e-05, DIV2K Loss: 0.0022535326424986124
Epoch [59], Step [31/120], Patch [6/6], SIDD Loss: 0.0001265016180695966, DIV2K Loss: 0.0021034814417362213
Epoch [59], Step [32/120], Patch [1/6], SIDD Loss: 9.061336459126323e-05, DIV2K Loss: 0.005764508154243231
Epoch [59], Step [32/120], Patch [2/6], SIDD Loss: 0.0001955305051524192, DIV2K Loss: 0.005540763959288597
Epoch [59], Step [32/120], Patch [3/6], SIDD Loss: 0.00018540568999014795, DIV2K Loss: 0.005805066786706448
Epoch [59], Step [32/120], Patch [4/6], SIDD Loss: 9.345790022052824e-05, DIV2K Loss: 0.005343619734048843
Epoch [59], Step [32/120], Patch [5/6], SIDD Loss: 0.00011071230983361602, DIV2K Loss: 0.00841426383703947
Epoch [59], Step [32/120], Patch [6/6], SIDD Loss: 9.59271565079689e-05, DIV2K Loss: 0.007925482466816902
Epoch [59], Step [33/120], Patch [1/6], SIDD Loss: 0.00010124627442564815, DIV2K Loss: 0.0012178294127807021
Epoch [59], Step [33/120], Patch [2/6], SIDD Loss: 8.916694059735164e-05, DIV2K Loss: 0.0009967379737645388
Epoch [59], Step [33/120], Patch [3/6], SIDD Loss: 6.577219028258696e-05, DIV2K Loss: 0.000972086563706398
Epoch [59], Step [33/120], Patch [4/6], SIDD Loss: 0.0002096414682455361, DIV2K Loss: 0.019843772053718567
Epoch [59], Step [33/120], Patch [5/6], SIDD Loss: 4.132460890104994e-05, DIV2K Loss: 0.012109356001019478
Epoch [59], Step [33/120], Patch [6/6], SIDD Loss: 3.896992711815983e-05, DIV2K Loss: 0.009360095486044884
Epoch [59], Step [34/120], Patch [1/6], SIDD Loss: 0.00011374192399671301, DIV2K Loss: 0.010976786725223064
Epoch [59], Step [34/120], Patch [2/6], SIDD Loss: 9.396232781000435e-05, DIV2K Loss: 0.010567918419837952
Epoch [59], Step [34/120], Patch [3/6], SIDD Loss: 0.0001137352519435808, DIV2K Loss: 0.0053742132149636745
Epoch [59], Step [34/120], Patch [4/6], SIDD Loss: 7.223087595775723e-05, DIV2K Loss: 0.009038170799612999
Epoch [59], Step [34/120], Patch [5/6], SIDD Loss: 0.00010512435983400792, DIV2K Loss: 0.010496271774172783
Epoch [59], Step [34/120], Patch [6/6], SIDD Loss: 8.623866597190499e-05, DIV2K Loss: 0.011538099497556686
Epoch [59], Step [35/120], Patch [1/6], SIDD Loss: 8.984471060102805e-05, DIV2K Loss: 0.011793146841228008
Epoch [59], Step [35/120], Patch [2/6], SIDD Loss: 0.00013991096056997776, DIV2K Loss: 0.01370855700224638
Epoch [59], Step [35/120], Patch [3/6], SIDD Loss: 0.00010218401439487934, DIV2K Loss: 0.016143687069416046
